CODFORNEC,CODPROD,DESCRICAO,GIRODIA_103,QTVENDMES3,QTVENDMES2,QTVENDMES1,QTVENDMES,QTVENDATOTAL4,ARUP4,ARUP3,ARUP2,QTESTGER,QTRESERV,QTPENDENTE,QTBLOQUEADA,QTDISPONIVEL,ESTDIAS,DTULTSAIDA,DIASSEMVENDA,DTULTENT,DIASSEMCOMPRA,QTULTENT,QTPEDIDA,PERCST,VLVENDAMES
3026,113022,PAO BOLINHA CATUPIRY 12X300G,3.588,0,0,0,61,61,0,0,0,0,0,0,0,0,0.0,2023-12-26,1.0,2023-12-05,22.0,60.0,0,0,646.96
3026,113023,PAO DE ALHO BOLINHA TRAD ZINHO 300G,46.276,1468,564,1042,2294,5368,0,0,0,2826,37,0,309,2480,53.59,2023-12-26,1.0,2023-12-05,22.0,4800.0,4800,0,20864.91
3026,113024,PAO DE ALHO BAGUETE PICANT ZINHO 300G ,68.966,2271,1027,1132,3570,8000,0,0,0,5483,187,0,1302,3994,57.91,2023-12-26,1.0,2023-12-05,22.0,7800.0,7800,0,30990.89
3026,113025,PAO D ALHO BAGUETE  TRAD 12X300G,113.526,2746,1762,1922,6739,13169,16,0,0,1086,169,0,609,308,2.71,2023-12-26,1.0,2023-12-05,22.0,6000.0,6000,0,58776.29
3026,113026,PAO D ALHO BOLINHA PICANTE 12X300G,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023-05-01,240.0,2021-11-09,778.0,600.0,0,0,0.0
3026,114641,PAO D ALHO BAGUETE TRAD RESEVERVA 300G,30.495,844,872,547,756,3019,0,0,0,1983,211,0,0,1772,58.11,2023-12-26,1.0,2023-12-05,22.0,2760.0,3600,0,5741.57
3026,123801,PAO BOLINHA LING CALABRESA ZINHO 300G,0.649,0,0,0,61,61,0,0,0,0,0,0,0,0,0.0,2023-12-26,1.0,2023-12-05,22.0,60.0,0,0,639.21
3026,124178,PAO DE ALHO BAGUETE PICANT RESERVA 300G,5.307,133,158,130,184,605,16,0,0,175,46,0,0,129,24.31,2023-12-26,1.0,2023-12-05,22.0,360.0,360,0,1439.9
3026,124179,PAO DE ALHO BOLINHA RESERVA 300G,3.939,152,116,88,93,449,0,0,0,413,7,0,0,406,103.07,2023-12-26,1.0,2023-12-05,22.0,504.0,504,0,702.75
3026,124180,PAO D ALHO BOLINHA PICANT RESERVA 300G,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,0.0,0,0,0.0
