CODFORNEC,CODPROD,DESCRICAO,GIRODIA_103,QTVENDMES3,QTVENDMES2,QTVENDMES1,QTVENDMES,QTVENDATOTAL4,ARUP4,ARUP3,ARUP2,QTESTGER,QTRESERV,QTPENDENTE,QTBLOQUEADA,QTDISPONIVEL,ESTDIAS,DTULTSAIDA,DIASSEMVENDA,DTULTENT,DIASSEMCOMPRA,QTULTENT,QTPEDIDA,PERCST,VLVENDAMES
3026,113022,PAO BOLINHA CATUPIRY 12X300G,3.588,0,0,61,0,61,0,0,4,0,0,0,0,0,0.0,2023-12-26,7.0,2023-12-05,28.0,60.0,0,0,0.0
3026,113023,PAO DE ALHO BOLINHA TRAD ZINHO 300G,43.857,564,1042,2385,6,3997,0,0,0,2768,27,0,332,2409,54.93,2024-01-02,0.0,2023-12-05,28.0,4800.0,4800,0,48.93
3026,113024,PAO DE ALHO BAGUETE PICANT ZINHO 300G ,65.747,1027,1132,3824,19,6002,0,0,0,5222,30,0,1030,4162,63.3,2024-01-02,0.0,2023-12-05,28.0,7800.0,7800,0,160.27
3026,113025,PAO D ALHO BAGUETE  TRAD 12X300G,117.571,1762,1922,7015,44,10743,16,0,0,905,83,0,688,134,1.14,2024-01-02,0.0,2023-12-05,28.0,6000.0,6000,0,362.35
3026,113026,PAO D ALHO BOLINHA PICANTE 12X300G,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023-05-01,246.0,2021-11-09,784.0,600.0,0,0,0.0
3026,114641,PAO D ALHO BAGUETE TRAD RESEVERVA 300G,31.554,872,547,916,38,2373,0,0,0,1785,142,0,0,1643,52.07,2024-01-02,0.0,2023-12-05,28.0,2760.0,3600,0,292.8
3026,123801,PAO BOLINHA LING CALABRESA ZINHO 300G,0.968,0,0,61,0,61,0,0,4,0,0,0,0,0,0.0,2023-12-26,7.0,2023-12-05,28.0,60.0,0,0,0.0
3026,124178,PAO DE ALHO BAGUETE PICANT RESERVA 300G,5.978,158,130,256,0,544,16,0,0,103,10,0,0,93,15.56,2023-12-28,5.0,2023-12-05,28.0,360.0,360,0,0.0
3026,124179,PAO DE ALHO BOLINHA RESERVA 300G,3.462,116,88,111,0,315,0,0,0,395,4,0,0,391,112.94,2023-12-28,5.0,2023-12-05,28.0,504.0,504,0,0.0
3026,124180,PAO D ALHO BOLINHA PICANT RESERVA 300G,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,0.0,0,0,0.0
