CODPROD,DESCRICAO,UNIDADE,CODFAB,EMBALAGEM,QTCLIPOS,QT,PVENDA,CLMEDPRECOUNIT,TOTPESO,VOLUME,LITRAGEM,TOTQTUNIT,TOTQTUNITCX,CLQTUNIT
113438,MANTEIGA COMUM C/S PT TOURINHO 200G,UN,16,CX24X200,516,8383,82716.28,10.13,1676.6,3.92,0,8383,349.2916666666667,1
113439,MANTEIGA COMUM C/S PT TOURINHO 500G,UN,17,CX12X500G,179,1712,39790.19,23.78,856.0,0.0,0,1712,142.66666666666666,1
113434,MANTEIGA COMUM C/S PT CABECA TOURO 200G,UN,20151,CX24X200G,27,366,3972.37,11.12,73.2,0.19,0,366,15.25,1
113443,MANTEIGA COMUM C/S LT TOURINHO 200G,UN,10,CX24X200G,22,200,2648.94,13.32,40.0,0.11,0,200,8.333333333333334,1
113435,MANTEIGA COMUM C/S PT CABECA TOURO 500G,UN,20152,CX12X500G,16,77,2083.33,27.17,38.5,0.04,0,77,6.416666666666667,1
113442,MANTEIGA 1ª QUALID C/S LT TOURINHO 200G,UN,29,CX24X200G,13,158,2057.1,13.3,31.6,0.1,0,158,6.583333333333333,1
113433,MANTEIGA COMUM C/S LT CABECA TOURO 500G,UN,20121,CX12X500G,5,60,1864.8,31.08,30.0,0.04,0,60,5.0,1
113432,MANTEIGA COMUM C/S LT CABECA TOURO 200G,UN,20111,CX24X200G,9,106,1545.66,14.65,21.2,0.03,0,106,4.416666666666667,1
113444,MANTEIGA COMUM C/S LT TOURINHO 500G,UN,11,CX12X500G,6,36,1133.49,32.05,18.0,0.01,0,36,3.0,1
115096,MANTEIGA 1ª QUALID S/S PT TOURINHO 200G,UN,942,CX24X200G,9,37,309.97,8.55,7.4,0.01,0,37,1.5416666666666667,1
