CODFILIAL,CODGERENTE,CODSUPERVISOR,CODUSUR,CODFORNEC,VLVENDA,QT,QTCLIENTE,QTPED
2,1.0,5,2,405,145.41,12.0,1,1
2,1.0,5,2,1203,77.22,26.0,2,2
2,,26,3,346,129.02,26.0,2,2
2,1.0,5,6,1203,3370.8,3096.0,2,3
2,,5,6,346,573.84,110.0,6,8
2,,5,6,975,29.16,12.0,1,1
2,,25,7,346,528.6,108.0,7,8
2,,25,7,405,135.15,27.0,4,4
2,,25,7,1203,327.6,168.0,11,14
2,,32,8,403,1063.0,470.0,5,8
2,,32,8,405,122.47,27.0,3,4
2,,32,8,1203,219.6,108.0,12,12
2,,19,11,346,770.04,132.0,4,8
2,,19,11,403,785.75,345.0,8,9
2,,19,11,405,0.0,0.0,2,3
2,,26,11,346,73.21,15.0,2,4
2,,26,11,403,2452.5,1100.0,7,16
2,,26,11,1203,15.54,6.0,1,1
2,1.0,31,11,346,839.07,141.0,3,17
2,1.0,31,11,403,4909.15,1623.0,9,12
2,1.0,31,11,405,1587.66,304.0,17,32
2,1.0,31,11,1203,136.66,50.0,5,5
2,,31,11,346,68.66,14.0,2,4
2,,31,11,403,1396.7,652.0,4,10
2,,31,11,405,3.75,1.0,1,1
2,1.0,42,11,346,1720.76,240.0,5,28
2,1.0,42,11,403,5.9,1.0,1,1
2,1.0,42,11,405,3325.22,565.0,28,73
2,1.0,42,11,1203,295.71,105.0,2,6
2,1.0,42,11,3209,214.14,102.0,2,2
2,,42,11,405,0.0,0.0,22,36
2,1.0,50,11,346,547.8,66.0,2,9
2,1.0,50,11,405,668.27,123.0,10,17
2,1.0,50,11,1203,44.16,12.0,1,1
2,1.0,50,11,2993,1548.95,168.0,7,10
2,1.0,50,11,3209,110.61,45.0,2,2
2,1.0,50,11,3248,293.67,155.0,4,5
2,1.0,50,11,3330,176.4,72.0,1,1
2,1.0,50,11,3356,1252.44,60.0,2,2
2,,11,12,346,58.32,8.0,1,2
2,,11,12,1203,0.0,0.0,1,1
2,,11,13,346,18.15,2.0,1,1
2,,11,13,1203,12.84,6.0,1,1
2,,19,13,346,350.52,57.0,9,15
2,,19,13,403,635.55,184.0,5,5
2,,5,14,346,980.71,206.0,8,16
2,,5,14,403,112.5,50.0,1,1
2,,11,14,346,351.58,41.0,2,2
2,,26,14,346,474.32,95.0,7,8
2,,26,14,403,502.05,211.0,2,3
2,,26,14,405,20.15,2.0,1,1
2,1.0,2,15,405,662.12,105.0,14,16
2,,19,16,346,74.26,14.0,3,3
2,,19,16,405,85.2,10.0,2,3
2,,19,16,1203,25.68,12.0,2,2
2,,20,17,346,230.64,50.0,5,12
2,,20,17,405,55.8,12.0,8,9
2,,23,17,346,279.78,61.0,6,12
2,,23,17,975,66.84,51.0,2,2
2,,26,17,346,1126.21,217.0,5,7
2,,26,17,405,82.3,10.0,8,8
2,,5,19,346,1128.03,220.0,9,25
2,,5,19,405,19.52,4.0,1,2
2,,5,19,975,193.5,90.0,5,7
2,,5,19,1203,219.24,132.0,9,9
2,,19,19,346,59.78,12.0,2,2
2,,19,19,403,1035.5,450.0,3,3
2,,19,19,405,195.13,27.0,3,3
2,,22,19,346,1843.88,336.0,17,56
2,,22,19,405,7.69,1.0,1,1
2,,22,19,975,440.7,210.0,7,13
2,,22,19,1203,595.2,372.0,17,27
2,,25,19,346,2394.84,434.0,23,72
2,,25,19,975,1384.98,1101.0,15,52
2,,25,19,1203,702.06,432.0,17,23
2,1.0,26,19,346,59.76,7.0,3,3
2,1.0,26,19,403,12680.0,3475.0,32,39
2,1.0,26,19,405,1777.85,160.0,10,13
2,1.0,26,19,975,29.1,6.0,1,1
2,1.0,26,19,2971,135.02,5.0,1,1
2,1.0,26,19,2993,115.55,13.0,2,2
2,1.0,26,19,3330,165.72,82.0,3,3
2,,28,19,346,266.59,51.0,7,12
2,,28,19,975,256.5,114.0,3,4
2,,28,19,1203,97.74,54.0,5,5
2,,30,19,346,133.38,26.0,4,6
2,,30,19,975,13.5,6.0,1,1
2,,30,19,1203,108.6,60.0,2,2
2,1.0,46,19,346,498.86,155.0,9,11
2,1.0,46,19,403,1798.02,473.0,7,9
2,1.0,46,19,405,147.81,12.0,2,2
2,1.0,46,19,2971,166.85,5.0,1,1
2,1.0,5,20,403,193.5,50.0,2,2
2,1.0,5,20,405,69.04,9.0,8,9
2,1.0,5,20,975,136.8,36.0,2,3
2,1.0,5,20,1203,1707.34,590.0,12,31
2,,5,20,346,272.8,50.0,12,22
2,,5,20,405,23.25,5.0,5,5
2,,5,20,975,619.32,288.0,6,11
2,,5,20,1203,111.78,66.0,6,6
2,,11,20,346,701.88,128.0,4,8
2,,11,20,403,2932.96,1144.0,10,25
2,,11,20,1203,46.62,18.0,2,2
2,,19,20,346,1878.56,338.0,19,52
2,,22,20,346,408.02,75.0,12,25
2,,22,20,405,79.41,17.0,2,3
2,,22,20,975,777.42,372.0,8,15
2,,22,20,1203,598.56,372.0,15,27
2,,25,20,346,3144.52,605.0,30,141
2,,25,20,405,198.42,30.0,2,3
2,,25,20,975,2242.98,1080.0,12,46
2,,25,20,1203,1020.39,621.0,17,38
2,1.0,26,20,346,73.22,11.0,3,6
2,1.0,26,20,403,2336.85,703.0,9,17
2,1.0,26,20,405,165.32,15.0,2,4
2,1.0,26,20,1203,7218.65,2561.0,43,116
2,,26,20,346,14.54,2.0,2,2
2,,26,20,403,4259.0,1900.0,14,26
2,,28,20,346,687.95,137.0,8,23
2,,28,20,975,545.46,246.0,4,13
2,,29,20,346,1748.52,350.0,17,60
2,,29,20,975,139.8,60.0,2,2
2,,30,20,346,1867.39,364.0,18,81
2,,30,20,975,1143.9,504.0,8,19
2,1.0,32,20,346,189.21,36.0,6,8
2,1.0,32,20,403,4403.67,1514.0,16,36
2,1.0,32,20,405,387.59,43.0,6,10
2,1.0,32,20,975,875.7,252.0,2,7
2,1.0,32,20,1203,12058.62,4522.0,63,193
2,,32,20,346,365.95,69.0,8,12
2,,32,20,403,4055.92,1706.0,19,29
2,,32,20,405,140.65,31.0,3,3
2,,32,20,975,34.2,12.0,1,1
2,,32,20,1203,3411.03,1317.0,18,51
2,,38,20,346,409.53,69.0,7,12
2,,38,20,403,2344.4,1003.0,14,20
2,,38,20,405,42.41,2.0,1,1
2,,38,20,975,528.0,192.0,2,9
2,,38,20,1203,2737.63,1057.0,30,51
2,,40,20,346,162.87,33.0,5,6
2,,40,20,403,1003.5,410.0,6,6
2,,40,20,1203,344.47,133.0,7,7
2,,11,21,403,3097.04,1262.0,8,8
2,,11,21,405,16.96,4.0,1,1
2,,19,21,346,21.8,4.0,1,1
2,3.0,38,21,975,29.1,6.0,1,1
2,,31,22,346,32.01,7.0,1,1
2,,2,23,403,393.75,175.0,1,3
2,1.0,5,24,346,764.5,134.0,6,10
2,1.0,5,24,403,2870.36,1131.0,9,11
2,1.0,5,24,405,288.43,19.0,5,7
2,1.0,5,24,975,13843.5,3810.0,25,93
